ID,WeekDay,Breakfast_Start,Breakfast_End,Lunch_Start,Lunch_End,Dinner_Start,Dinner_End,Breakfast,Lunch,Dinner
45,Saturday,,,11:45:00,16:00:00,16:00:00,23:00:00,0,1,1
45,Thursday,,,11:45:00,16:00:00,16:00:00,23:00:00,0,1,1
45,Monday,,,11:45:00,16:00:00,16:00:00,23:00:00,0,1,1
45,Sunday,,,11:45:00,16:00:00,16:00:00,23:00:00,0,1,1
45,Friday,,,11:45:00,16:00:00,16:00:00,23:00:00,0,1,1
45,Wednesday,,,11:45:00,16:00:00,16:00:00,23:00:00,0,1,1
46,Monday,,,11:45:00,15:45:00,18:30:00,22:30:00,0,1,1
46,Friday,,,11:45:00,15:45:00,18:30:00,22:30:00,0,1,1
46,Wednesday,,,11:45:00,15:45:00,18:30:00,22:30:00,0,1,1
46,Saturday,,,11:45:00,15:45:00,18:30:00,22:30:00,0,1,1
46,Sunday,,,11:45:00,15:45:00,18:30:00,22:30:00,0,1,1
46,Tuesday,,,11:45:00,15:45:00,18:30:00,22:30:00,0,1,1
46,Thursday,,,11:45:00,15:45:00,18:30:00,22:30:00,0,1,1
47,Tuesday,,,12:00:00,18:00:00,18:00:00,23:30:00,0,1,1
47,Wednesday,,,12:00:00,18:00:00,18:00:00,23:30:00,0,1,1
47,Saturday,,,12:00:00,18:00:00,18:00:00,23:30:00,0,1,1
47,Thursday,,,12:00:00,18:00:00,18:00:00,23:30:00,0,1,1
47,Monday,,,12:00:00,18:00:00,18:00:00,23:30:00,0,1,1
47,Sunday,,,12:00:00,18:00:00,18:00:00,23:30:00,0,1,1
47,Friday,,,12:00:00,18:00:00,18:00:00,23:30:00,0,1,1
48,Sunday,,,12:00:00,19:00:00,19:00:00,22:00:00,0,1,1
48,Thursday,,,12:00:00,19:00:00,19:00:00,22:00:00,0,1,1
48,Friday,,,12:00:00,19:00:00,19:00:00,22:00:00,0,1,1
48,Saturday,,,12:00:00,19:00:00,19:00:00,22:00:00,0,1,1
48,Wednesday,,,12:00:00,19:00:00,19:00:00,22:00:00,0,1,1
48,Tuesday,,,12:00:00,19:00:00,19:00:00,22:00:00,0,1,1
48,Monday,,,12:00:00,19:00:00,19:00:00,22:00:00,0,1,1
49,Thursday,,,11:45:00,16:59:00,17:00:00,23:45:00,0,1,1
49,Friday,,,11:45:00,16:59:00,17:00:00,23:45:00,0,1,1
49,Wednesday,,,11:45:00,16:59:00,17:00:00,23:45:00,0,1,1
49,Tuesday,,,11:45:00,16:59:00,17:00:00,23:45:00,0,1,1
49,Monday,,,11:45:00,16:59:00,17:00:00,23:45:00,0,1,1
49,Saturday,,,11:45:00,16:59:00,17:00:00,23:45:00,0,1,1
49,Sunday,,,11:45:00,16:59:00,17:00:00,23:45:00,0,1,1
50,Friday,,,11:30:00,18:00:00,18:00:00,22:30:00,0,1,1
50,Thursday,,,11:30:00,18:00:00,18:00:00,22:30:00,0,1,1
50,Monday,,,11:30:00,18:00:00,18:00:00,22:30:00,0,1,1
50,Saturday,,,11:30:00,18:00:00,18:00:00,22:30:00,0,1,1
50,Wednesday,,,11:30:00,18:00:00,18:00:00,22:30:00,0,1,1
50,Sunday,,,11:30:00,18:00:00,18:00:00,22:30:00,0,1,1
50,Tuesday,,,11:30:00,18:00:00,18:00:00,22:30:00,0,1,1
51,Sunday,,,12:00:00,18:00:00,18:00:00,23:00:00,0,1,1
51,Monday,,,12:00:00,18:00:00,18:00:00,23:00:00,0,1,1
51,Saturday,,,12:00:00,18:00:00,18:00:00,23:00:00,0,1,1
51,Wednesday,,,12:00:00,18:00:00,18:00:00,23:00:00,0,1,1
51,Tuesday,,,11:00:00,18:00:00,18:00:00,23:00:00,0,1,1
51,Friday,,,12:00:00,18:00:00,18:00:00,23:00:00,0,1,1
51,Thursday,,,12:00:00,18:00:00,18:00:00,23:00:00,0,1,1
